title	type	url_slug	venue	date	location	talk_url	description 	presentation_location
Modelling 1-D quasi-static potential structures at Jupiter 	Talk	2021-EGU	2021 Virtual EGU	2021-04-30	Lancaster, United Kingdom	https://meetingorganizer.copernicus.org/EGU21/EGU21-16144.html	This talk discussed numerical results on the behaviour of quasi-static potential features in the Jovian magnetosphere.  	
Predicting field-aligned currents and precipitating intensity profiles at Jupiter 	Poster	2020-AGU	2020 Virtual AGU	2020-12-16	Lancaster, United Kingdom	https://ui.adsabs.harvard.edu/abs/2020AGUFMSM0540006C/abstract	This poster presented results from the Vlasov model and how these are used to inform FACs and particle precipitation profiles.	
Predicting field-aligned currents in the Jovian magnetosphere 	Poster	2020-MIST	2020 Virtual Autumn MIST	2020-11-19	Lancaster, United Kingdom	https://www.mist.ac.uk/images/PDFs/AutumnMISTs/2020_schedule.pdf	This poster presented results from the Vlasov model and how these are used to inform FACs.	
1-D hybrid kinetic/fluid modelling of the Jovian magnetosphere 	Poster	2019-NAM	2019 National Astronomy Meeting (NAM)	2019-07-01	LICA, Lancaster, United Kingdom	https://nam2019.org/	This poster presented early results of the Vlasov model when applied to the Jovian magnetosphere.	
Vlasov simulations of MI-coupling in the Jovian system 	Talk	2019-MOP	2019 Magnetospheres of the Outer Planets (MOP)	2019-06-07	Tohoku University, Sendai, Japan	http://pparc.tohoku.ac.jp/sympo/mop/	This talk discussed early results of the Vlasov model when applied to the Jovian magnetosphere.	
Vlasov simulations of MI-coupling in the Jovian system 	Poster	2018-MIST	2018 Autumn MIST	2018-11-30	Geological Society, London, United Kingdom	https://www.mist.ac.uk/images/PDFs/AutumnMISTs/2018_schedule.pdf	This poster gave an introduction to the 1-D Vlasov model used to examine field aligned currents in the Jovian magnetosphere.	
Modelling of magnetosphere-ionosphere coupling at Earth (and eventually, in the Jovian system)	Invited Talk	2018-EuroplanetNA	Uniting Planetary Models and Data Analysis Tools/Services: A Europlanet NA Workshop	2018-09-13	Elite City Resort Hotel, Kalamata, Greece	https://doi.org/10.1109/IVEC.2011.5746898	This talk gave an overview of the Vlasov model, with a focus on the previous examination of the terrestrial magnetosphere; at the Uniting Planetary Models and Data Analysis Tools/Services: A Europlanet NA Workshop.	
Progress with the RTT technology option process 	Talk	2018-ICEC	ICEC RT Tech Options kick-off meeting	2018-03-08	CERN, Switzerland	https://indico.cern.ch/event/709480/	This talk presented an overview of the vacuum source options for the ICEC programme.  	
High efficiency klystrons using the COM bunching technique 	Talk	2017-IPAC	8<sup>th</sup> International Particle Accelerator Conference (IPAC)	2017-05-17	Bella Centre, Copenhagen, Denmark	https://accelconf.web.cern.ch/ipac2017/doi/JACoW-IPAC2017-MOOCA1.html	This talk presented numerical results of klystrons using the core oscillation bunching method.  	
Analytical and numerical simulation of multipactor within a helical resonant filter 	Poster	2017-IVEC-1	18<sup>th</sup> IEEE International Vacuum Electronics Conference (IVEC)	2017-04-24	Inmarsat, London, United Kingdom	https://ieeexplore.ieee.org/document/7561813	This poster gave an overview of multipactor simulations of a helical filter using CST Particle Studio.  	
MAGIC2-D simulations of high efficiency klystrons using the core oscillation method 	Talk	2017-IVEC-2	18<sup>th</sup> IEEE International Vacuum Electronics Conference (IVEC)	2017-04-24	Inmarsat, London, United Kingdom	https://ieeexplore.ieee.org/document/7561813	This talk presented numerical results of klystrons using the core oscillation bunching method.  	
High efficiency klystron development for particle accelerators	Invited Talk	2016-eefact	58<sup>th</sup> ICFA Advanced Beam Dynamics Workshop on High Luminosity Circular e+e- Colliders (eeFACT'16)	2016-10-25	Cockcroft Institute, Daresbury, United Kingdom	https://doi.org/10.1109/IVEC.2011.5746898	This talk gave an overview of the work done by the HEIKA collaboration. 	
Numerical simulation of high efficiency hollow beam klystrons	Talk	2016-NVEC	2016 National Vacuum Electronics Conference (NVEC)	2016-07-18	Lancaster University, Lancaster, United Kingdom	http://www.research.lancs.ac.uk/portal/en/publications/-(fe43f551-dc6b-456e-abe1-1caeb813315a).html	This talk gave an overview of numerical simulations focussing on hollow beam klystrons investigated by HEIKA. 	
Numerical simulation of high efficiency cylindrical beam klystrons	Poster	2016-NVEC2	2016 National Vacuum Electronics Conference (NVEC)	2016-07-18	Lancaster University, Lancaster, United Kingdom	http://www.research.lancs.ac.uk/portal/en/publications/-(1e39ad98-63e5-4625-b0ad-7ae83d28b793).html	This poster gave an overview of numerical simulations focussing on cylindrical beam klystrons investigated by HEIKA.  	
2-D particle-in-cell simulations of high efficiency klystrons 	Talk	2016-IVEC	17<sup>th</sup> IEEE International Vacuum Electronics Conference (IVEC)	2016-04-20	Monterey Marriott Hotel, Monterey, California, United States	https://ieeexplore.ieee.org/document/7561813	This talk presented an overview of MAGIC2-D simulations of klystrons utilising the COM bunching technique.  	
Numerical design of high efficiency klystrons using core oscillation bunching	Talk	2015-NVEC	2015 National Vacuum Electronics Conference (NVEC)	2015-11-18	University of Strathclyde, Glasgow, United Kingdom	http://www.research.lancs.ac.uk/portal/en/publications/numerical-design-of-high-efficiency-klystrons-using-core-oscillation-bunching(4eb72aa7-e0b1-45c3-8a19-76e5f3c31a58).html	This talk gave an overview of 800 MHz klystrons investigated by HEIKA.  	
Numerical simulation of high efficiency multiple beam klystrons	Invited Talk	2015-techx	Tech-X User Group Meeting	2015-10-25	Cockcroft Institute, Daresbury, United Kingdom	https://doi.org/10.1109/IVEC.2011.5746898	This talk gave an introduction to early MBK simulations.	
MAGIC3-D simulations of a 1.37 THz gyro-multiplier	Talk	2013-UCMMT	6<sup>th</sup> UK-EU-China Workshop on Millimetre Waves & Terahertz Technologies (UCMMT 2013)	2013-09-09	National Roman Museum, Rome, Italy	https://ieeexplore.ieee.org/document/6641521	This talk presented an overview of MAGIC3-D simulations of a THz gyro-multiplier.	
Numerical simulations of a 4<sup>th</sup> harmonic cyclotron maser based on the principle of frequency multiplication 	Talk	2013-IET	1<sup>st</sup> Annual Active and Passive RF Devices Seminar	2013-10-29	Teacher Building, Glasgow, United Kingdom	https://digital-library.theiet.org/content/conferences/10.1049/ic.2013.0250	This talk gave an update on numerical simulations of the single cavity co-harmonic gyrotron results.	
Numerical simulation of a 1.37 THz gyro-multiplier 	Poster	2013-IVEC	14<sup>th</sup> IEEE International Vacuum Electronics Conference (IVEC)	2013-05-21	UIC, Paris, France	https://ieeexplore.ieee.org/document/6571128	This poster presented an overview of MAGIC3-D simulations of a THz gyro-multiplier.	
Numerical simulation of a 1.36 THz CRM-multiplier 	Poster	2013-IOP	40<sup>th</sup> Institute of Physics Plasma Physics Conference	2013-03-25	University of York, York, United Kingdom	https://www.eventsforce.net/iop/frontend/reg/thome.csp?pageID=89837&ef_sel_menu=1633&eventID=230	This poster gave an overview of simulations of a 1.36 THz gyro-multiplier.	
3-D numerical simulation of novel gyro-multiplier schemes 	Poster	2012-ICOPS-1	39<sup>th</sup> IEEE International Conference on Plasma Science (ICOPS)	2012-07-08	Edinburgh International Conference Centre, Edinburgh, United Kingdom	https://ieeexplore.ieee.org/document/6383341	This poster gave a summary of MAGIC3-D results of the gyro-multipliers.	
Components for the testing of a co-harmonic gyrotron 	Poster	2012-ICOPS-2	39<sup>th</sup> IEEE International Conference on Plasma Science (ICOPS)	2012-07-08	Edinburgh International Conference Centre, Edinburgh, United Kingdom	https://ieeexplore.ieee.org/document/6383341	This poster gave a summary of the components and results for the cold-testing of the co-harmonic gyrotron.	
Numerical investigation of gyro-multiplier schemes 	Poster	2012-IVEC	12<sup>th</sup> International Vacuum Electronics Conference (IVEC)	2012-04-24	Portola Hotel, Monterey, California	https://ieeexplore.ieee.org/document/6262263	This poster gave a summary of MAGIC3-D results of the gyro-multipliers.	
Numerical simulations of novel gyro-multiplier schemes	Talk	2011-UCMTT	4<sup>th</sup> UK-EU-China Workshop on Millimetre Waves & Terahertz Technologies (UCMMT 2011)	2011-09-01	University of Strathclyde, Glasgow, United Kingdom	http://reld.phys.strath.ac.uk/conferences/2011/UK-China/index.php?page=intro	This talk gave an overview of numerical results from MAGIC3-D focussing on two distinct schemes of gyro-multiplier.	
Recent results on the cold testing of a co-harmonic gyrotron	Talk	2011-NVEC	2011 National Vacuum Electronics Conference (NVEC)	2011-07-05	University of Strathclyde, Glasgow, United Kingdom	http://reld.phys.strath.ac.uk/conferences/2011/NVEC/index.php?page=time	This talk presented the design, numerical and experimental results  for testing the single cavity gyro-multiplier.	
A co-harmonic cylclotron maser oscillator 	Poster	2011-IOP	38<sup>th</sup> Institute of Physics Plasma Physics Conference	2011-04-07	Marine Hotel, North Berwick, United Kingdom	https://cdn.eventsforce.net/files/ef-q5vmtsq56tk6/website/105/plasma_physics_handbook.pdf	This poster gave a summary of the numerical results of the co-harmonic gyrotron.	
Passive components for the testing of a co-harmonic gyrotron 	Talk	2011-IET	2<sup>nd</sup> Annual Passive RF and Components Seminar	2011-03-30	Teacher Building, Glasgow, United Kingdom	https://digital-library.theiet.org/content/conferences/2011/005	This talk discussed the design, numerical simulation and manufacture of passive components used to test the co-harmonic gyrotron.	
Recent progress on a co-harmonic gyrotron	Talk	2011-IVEC	2011 International Vacuum Electronics Conference (IVEC)	2011-02-23	National Science Seminar Complex, Bangalore, India	https://doi.org/10.1109/IVEC.2011.5746898	This talk focussed on efforts to contain the driving signal within the co-harmonic interaction region - 2011 International Vacuum Electronics Conference.	
Components for the testing of a co-harmonic gyrotron	Poster	2010-NVEC	2010 National Vacuum Electronics Conference (NVEC)	2010-07-14	Cockcroft Institute, Daresbury, United Kingdom	http://indico.hep.manchester.ac.uk/conferenceDisplay.py?ovw=True&confId=2288	This poster gave an overview of the design and expected performance of components for testing the single cavity gyro-multiplier.	
Recent progress on a co-harmonic cyclotron resonant maser 	Poster	2010-IOP	37<sup>th</sup> Institute of Physics Plasma Physics Conference	2010-03-29	The Low Wood Hotel, Windermere, United Kingdom	https://cdn.eventsforce.net/files/ef-q5vmtsq56tk6/website/105/plasma_physics_handbook.pdf	This poster gave a summary of the numerical results of the co-harmonic gyrotron.	
A co-harmonic cyclotron resonance maser device for plasma applications 	Poster	2009-TPW	9<sup>th</sup> Technological Plasma Workshop	2009-12-14	Glasgow Science Centre, Glasgow, United Kingdom	https://warwick.ac.uk/fac/sci/physics/research/cfsa/events/iop2009/program_final.pdf	This poster gave a summary of the intial results of the co-harmonic gyrotron.	
A novel co-harmonic gyrotron	Talk	2009-UCMMT	2<sup>nd</sup> UK-EU-China Workshop on Millimetre Waves & Terahertz Technologies (UCMMT 2009)	2009-10-19	Rutherford Appleton Laboratory, United Kingdom	https://doi.org/10.1109/IVEC.2011.5746898	This talk discussed numerical results from MAGIC3-D of the single cavity co-harmonic gyrotron.	
A novel co-harmonic gyrotron	Poster	2009-NVEC	2009 National Vacuum Electronics Conference (NVEC)	2009-09-09	Cockcroft Institute, Daresbury, United Kingdom	http://www.research.lancs.ac.uk/portal/en/publications/a-novel-coharmonic-gyrotron(21f518b8-25d2-4ea6-8d69-6979f74a6b6f)/export.html	Poster presented at NVEC 2009. 	
